Date,Open,High,Low,Close,Adj Close,Volume
2018-10-04,3.570.000.000,3.600.000.000,3.510.000.000,3.600.000.000,3.103.336.426,82550500
2018-10-05,3.540.000.000,3.600.000.000,3.530.000.000,3.530.000.000,3.042.993.896,59270300
2018-10-08,3.500.000.000,3.530.000.000,3.470.000.000,3.520.000.000,3.034.373.779,71886100
2018-10-09,3.530.000.000,3.620.000.000,3.520.000.000,3.590.000.000,3.094.716.309,58708100
2018-10-10,3.640.000.000,3.640.000.000,3.560.000.000,3.600.000.000,3.103.336.426,31937500
2018-10-11,3.500.000.000,3.640.000.000,3.480.000.000,3.570.000.000,3.077.475.586,114418300
2018-10-12,3.630.000.000,3.700.000.000,3.620.000.000,3.680.000.000,3.172.299.561,87991200
2018-10-15,3.700.000.000,3.750.000.000,3.650.000.000,3.660.000.000,3.155.058.838,68466400
2018-10-16,3.680.000.000,3.780.000.000,3.680.000.000,3.780.000.000,3.258.503.418,98103600
2018-10-17,3.800.000.000,3.910.000.000,3.800.000.000,3.900.000.000,3.361.947.998,122953700
2018-10-18,3.840.000.000,3.880.000.000,3.720.000.000,3.760.000.000,3.241.262.695,102322600
2018-10-19,3.700.000.000,3.770.000.000,3.690.000.000,3.730.000.000,3.215.401.611,140162100
2018-10-22,3.730.000.000,3.830.000.000,3.730.000.000,3.800.000.000,3.275.744.141,57680500
2018-10-23,3.800.000.000,3.800.000.000,3.670.000.000,3.700.000.000,3.189.540.283,53266800
2018-10-24,3.700.000.000,3.710.000.000,3.520.000.000,3.520.000.000,3.034.373.779,117672200
2018-10-25,3.490.000.000,3.580.000.000,3.460.000.000,3.550.000.000,3.060.234.619,120108900
2018-10-26,3.580.000.000,3.660.000.000,3.580.000.000,3.630.000.000,3.129.197.754,100554100
2018-10-29,3.630.000.000,3.660.000.000,3.580.000.000,3.660.000.000,3.155.058.838,54304000
2018-10-30,3.640.000.000,3.850.000.000,3.630.000.000,3.800.000.000,3.275.744.141,158933000
2018-10-31,3.850.000.000,3.870.000.000,3.730.000.000,3.850.000.000,3.318.845.947,140351400
2018-11-01,3.850.000.000,3.880.000.000,3.810.000.000,3.880.000.000,3.344.707.275,69586900
2018-11-02,3.900.000.000,3.940.000.000,3.880.000.000,3.940.000.000,3.396.429.688,98072700
2018-11-05,3.850.000.000,3.910.000.000,3.850.000.000,3.890.000.000,3.353.327.393,60121700
2018-11-06,3.930.000.000,3.930.000.000,3.820.000.000,3.890.000.000,3.353.327.393,58088000
2018-11-07,3.900.000.000,3.950.000.000,3.870.000.000,3.950.000.000,3.405.049.561,98350100
2018-11-08,3.970.000.000,4.000.000.000,3.920.000.000,4.000.000.000,3.448.151.855,74004300
2018-11-09,3.960.000.000,3.960.000.000,3.920.000.000,3.920.000.000,3.379.188.965,45243300
2018-11-12,3.890.000.000,3.950.000.000,3.860.000.000,3.860.000.000,3.327.466.553,57256000
2018-11-13,3.810.000.000,3.850.000.000,3.750.000.000,3.830.000.000,3.301.605.225,89819400
2018-11-14,3.860.000.000,3.880.000.000,3.750.000.000,3.750.000.000,3.232.642.334,72968500
2018-11-15,3.800.000.000,3.940.000.000,3.790.000.000,3.910.000.000,3.370.568.115,71440400
2018-11-16,3.930.000.000,4.110.000.000,3.920.000.000,4.050.000.000,3.491.253.418,128595600
2018-11-19,4.050.000.000,4.050.000.000,3.930.000.000,3.950.000.000,3.405.049.561,72785900
2018-11-20,3.950.000.000,3.950.000.000,3.950.000.000,3.950.000.000,3.405.049.561,0
